Event Name,Event Description,Date and Time,Venue,Organization,Category,Number,Author,Keywords
Art Of Typography,"Hurry up! Grab everyone's mind to promote your business, service or work. Lekin kayse?
What will be your pahela impression?
Socho...Socho...

Yeh hay Typography. It is everywhere in your business. At the logo, at the tagline, even at the content on the product's pack. Apna business ka pahechan banana hay to typography samajhna hay re baba!
Good Typography Content
More Interest Among People!
So join my detailed webinar on 'ART OF TYPOGRAPHY' on 17th January, 2021 from 6pm onwards. Myself Dhiren Sharma, a graphic designer by profession and the founder of clothing brand 'THE 28'. I will cover the basic concept of Typography and a poster workshop as well.",January 17 | 6PM,Online,Dhiren Sharama,Live Events,,vIshvesh,
"NOVUS - DIGITAL MARKETING CHAMPIONSHIP","NOVUS 2021 is the prime Digital Marketing Championship for colleges. With the setting in of the digital age, digital marketing and content creation have become two basic tools to achieve high conversion rates and cost effective extensive marketing. 
Novus is a three-day online event, where a company profile would be offered to participants from all over Mumbai, and they will Devise Marketing Strategy, Create Social Media Content and an Advertising Campaign for the company.
Top performing participants will receive CASH PRIZE of INR 6,000, worthy INTERNSHIP with iMz Media Solutions Ltd. with Stipend of INR 7,000+ ,brilliant GLOBAL EXCHANGE opportunities and other Exciting Prizes worth INR 10,000.",January 5 | 2PM - January 7 | 11PM,Online,AIESEC,Live Events,,vIshvesh,
Harmony Circle - Where does love begin?,"Harmony Circle: The circles give us the time to slow down & look at our lives and question our beliefs. If we feel comfortable, we can share or we can just come to listen. It is an unburdening experience as we are able to see things in a new light.
",January 6 | 4PM,Online,Living Light,Live Events,,vIshvesh,
Oil Free Cooking Class,"Oil is a highly processed food and laden with preservatives. It is pure fat and lacks fibre and nutrition. Our body doesn’t need any oil, only our cars need it!

Learn the tips and tricks to infuse oil free cooking at your home. It’s just the conditioning that needs to break, the rest is pretty easy!

Join Vandana sharing these amazing oil free delicious recipes.

Menu:

Samosa with Date & Tamarind Chutney
Dal Vada with Ketchup
Batata Vada
Instant Carrot Pickle
Mozzarella Cheese Sticks
 French Fries",January 7 | 3PM,Online,Sharan,Health and Wellness,,vIshvesh,
Watercolour - Realistic Floral/Fruit Workshop by Rajasthan Studio,"Have you ever wondered how to include floral illustrations with lettering? Does it amuse you to learn an art form so sparse? Understand the basics of using floral illustration to beautify your lettering style and create some well-defined art pieces for yourself. Watercolor allows you to play with colors and painting in a way that gives you the opportunity to rejuvenate your artistic skills.

Come and explore the techniques of Watercolor - Realistic Floral/Fruit Workshop by Deepti Ahluwalia (@purplepirateco) and learn the meditative process of painting. ",January 8 | 5PM,Online,Rajasthan Studio,Arts and exhibitions,,vIshvesh,
Six Weeks to Health Gain & Weight Loss (Live + Online),"SHARAN is happy to announce our Six Weeks to Health Gain program live online!
Reyna K Rupani tried numerous diets and exercises but her weight remained 64-65 kgs for many years. She had almost accepted it as fate when she started the ‘Whole Plant Based Diet’ and the results were miraculous. The kilos started melting and the sizes dropped. In about 8 months, she lost over 10 kgs and in one year she weighed a healthy 48 kgs. She lost 17 kgs through a program she took up to fend off acidity!
Reyna is today a fit and self-confident mother who realised how easy it is to stay healthy by eating natural. Her 18 year old daughter cringes when someone says that they look like sisters! They even share a wardrobe now!
If losing weight and being healthy is your concern, then this is a program for you. In a systematic manner, we will guide you towards weight reversal and most importantly, health. We will focus upon ‘the mind’ and help you train it to help you in this wonderful journey.
The support will include a group session once every week for six weeks at Zoom (online), which will include discussions, movies and cooking demonstrations. We will also have a WhatsApp support group, wherein you will get challenges, tips etc.
Question: What is the difference between the 6 Week Health Gain Weight Loss Online Program and the 2 Months Personalised Weightloss Program?
The 6 Weeks Health Gain Weight Loss online program is a live group program on Zoom. There is a small group of 10 – 15 individuals who will be working together to get the results. Group sessions are long, interactive and informative and there is a lot of sharing and room for Q & A and learning from each other. This is particularly good for those who need the motivation of a group and thrive in company.
The 2 Months Personalised Weightloss Program is individualised. You will be in touch with your nutritionist who will look at your reports and give you individualised guidance according to your needs. This is especially good for those who have less time and want more privacy. Individual reports will be viewed and guidance will be given on them too. You will be able to adjust appointment timings with your nutritionist and have mutually suitable timings.This is particularly good for those who are self motivated and follow through with whatever they start.",January 9 | 11AM - February 13 | 1PM,Online,SHARAN,Health and Wellness,,vIshvesh,
Online Theatre and Acting Workshop,"A participant can attend the workshop on either or both days. (Ticket booking option is provided accordingly.) Different topics are there on both days.

Topics on Saturday:

1. Voice modulation

2. Actor warm up

3. Imagination

4. Speech

5. Working on human emotions

6. Improvisation

Topics on Sunday:

1. Actor warm-up

2. Body language

3. Spontaneity

4. Mime (technique of suggesting action, character or emotion without words)

5. Working on human senses

6. Short act

Features of the workshop:

- The workshop will be a good learning experience for enthusiast beginners as well as participants having some knowledge about theatre and acting.

- Also, it helps one to develop public speaking skills, willingness to work cooperatively, adaptability, flexibility and self esteem.

- It's a stress reducer activity. It matures one to appreciate arts and culture.

- Our in-house faculty has years of experience in theatre and as an acting faculty. Also, he is a theatre writer, director and artist.

- Limited number of participants confirms personal attention to each.",January 9 | 12PM - January 10 | 2PM,Online,Realistic Theatre,Arts and exhibitions,,vIshvesh,
How I Reversed My Hypothyroidism– Free Talk,"Did you know that 1 in 10 Indians have hypothyroidism and are prescribed life-long medicines? Well this condition can actually be reversed! Find out how with our facilitator Vandana Tiwari, whose daily morning ritual of having thyroid medicines for 17 years stopped as she reversed Hypothyroidism, her acidity issues were resolved, she lost weight and gained energy! Joining her will be nutritionist Shalu Nijhawan, who will shed light on what causes this condition and how it can be reversed.",January 9 | 5PM,Online,SHARAN,Health and Wellness,,vIshvesh,
Art Workshop |Mandala Painting,"Banjara Gypsy brings amazing artist - Chandrima Mandal She holds an expertise in training kids and adults. 
It's alright if you are totally a beginner or an expert. we have designed upcoming modules depends on your comfort.
Stationaries required:
1 White sheets
2 sharpener, scale, compass,
3 black gel pe
4.Pencils
5.Eraser
6.Ruler
Overall syllabus
1.     Understanding Lines Shapes and Curves.
2.     Creation of 2D shapes.
3.     Symmetrical and Asymmetrical Concepts.
4.     Shading Techniques
5.     Concept of light and Shadows.
6.     Convert 2D shapes into 3D Object.
7.     One and Two points perspective.
8.     Compositional Guidelines.
9.     Values and Edges.
10.  Sketching from life.
11.  Proportion Basics.
12.  Observing Edges for realistic Renderings.
13.  Basics of Painting.
14.  One Layer painting.
15.  Two Layer painting.
16.  Three layer Painting.
17.  Doodles
18.  Zentangles.
19.  Conversion of real into Comic.",September 5 | 7PM - September 26 | 8PM,Online,Banjara And gypsy,Arts and exhibitions,,vIshvesh,
"Understanding Lights in Product Photography Workshop","Every moment you unfurl the pages of an advertising brochure, browse your favorite restaurant menu or visit an e-commerce website, you are touching the world of product photography. 

Gear up for an immersive online session for strengthening your fundamentals with a mentor as good as Aditi Singh and experience yourself into the world of understanding Lights in Product Photography. The class starts with the basics but moves into the wide range of possibilities you have at hand and most importantly, the practical techniques that you can use to bring out the best in your products without the use of complicated equipment. ",January 10 | 6PM,Online,Aditi Singh,Live Events,,vIshvesh,
Be Musical - Inside Out,"Workshop Content:
Voice enhancement tips - Exercise on Solfège, Breathing, Pitch, Rhythm, Resonance, Diction, Projection, Singing Vowels etc.
Breathing/Vocal Techniques and Vocal Health
Demonstration with Popular Songs from renowned animated movies
Work on facial and vocal expressions and gestures
Performance skills and body language training with execution on the final day of the workshop
Certification of Ajivasan Music Academy-
Direct entry into our long term western vocal course after the workshop",January 11 | 5PM - February 1 | 6PM,Online,Ajivasan Music Academy,Arts and exhibitions,,vIshvesh,
Visual Thinking for Impactful Design,"Humans are visual creatures. Our brain processes visual information 60,000 times faster, and remembers visuals better than verbal. The session helps to develop an understanding that everything around us is made up of a few basic shapes, which are visual alphabets. How to use this understanding to learn, understand better, and effectively use it for visual storytelling.
What do you need to bring along?
An open mind
Curiosity and questions 
Key Takeaways
Visual alphabets
Understand complex information
Communicate complex ideas simply","January 12 | 8PM
",Online,Institute of Product Leadership,Live Events,,vIshvesh,
Macaron Baking Workshop with Chef Pooja Dhingra,"Pooja Dhingra is the founder of the Le15 chain of patisseries and cafes, which she founded in 2010. She is a graduate of hospitality from Cesar Ritz Colleges, Switzerland and trained at Le Cordon Bleu, Paris, for a Patisserie Diploma.
Featured on the Forbes '30 under 30' list both in India and Asia, Pooja has won acclaim from critics, the press and her customers not just for her extraordinary skills as a patissier but also for her incredible entrepreneurial journey. She is an INK Fellow, and hosts an extremely popular podcast called #NoSugarCoat. Pooja has published three books. The Big Book of Treats was her first and won second place at the Gourmand World Cookbook Award. Her other books are The Wholesome Kitchen and Can't Believe It's Eggless. ",January 16 | 4PM,Online,Pooja Dhingra,Food and Beverages,,vIshvesh,
Mughlai Magic,"Learn and enjoy the mouth watering Mughlai delicacies which are made without the use of oil, ghee, butter & refined sugar. So health bhi aur taste bhi. This session is about our all time favourite, tried and tested recipes, which are so easy to make and so full of flavour and richness of spices and vegetables that you will be simply amazed!!
Menu:
Day 1
Seekh Kebabs
Akbari Dal
Paneer Labaabdar
Mughlai Paratha
Day 2
Navratna Korma
Kheema Naan
Biryani
Shahi Tukda",February 12 | 12PM - February 13 | 1PM,Online,SHARAN,Food and Beverages,,vIshvesh,
Candle Making Workshop by Rajasthan Studio,"Is there any way you could resist the charming aroma of scented candles? If not, then why are you resisting to make your own scented candles? Candle making is one of the types of art therapy that concludes not only in the rejuvenation of the mind but also in your artistic skills. It is an art form that requisites patience and an eye for colors and fragrances.",January 6 | 3PM,Online,Rajasthan Studio,Arts and exhibitions,,vIshvesh,
Mix Media Workshop by Rajasthan Studio,"Art is synonymous with exploration. You cannot bind it to a particular keyword or category. Such fluidity can be found in Mix Media Artform. It is an art form that allows you to combine two artistic mediums in order to create a magnificent art piece. It is one of the art forms with a deconstructed approach that breaks the shackles of all limitations attached to the idea of art. 

Materials Required:

1. Paper (160GSM or more, postcard size dimensions)

2. Pencils

3. Erasers

4. Masking Tape

5. Watercolor paints

6. Colour pencils

7. Black & white gel pens

8. Sketch pens/marker

9. Brush - flat brush 2/3/4

10. 0/1/2 1 liner brush",January 6 | 5PM,Online,Rajasthan Studio,Live Events,,vIshvesh,
Kerala Mural Painting Workshop by Rajasthan Studio,"Mural Painting is a traditional art form. And an extension to this is an art form that is itself historic and vibrant, Kerala Mural Painting. Kerala Murals are a symbol of the true devotion of an artist towards their deity. They also play a significant role in enhancing the austerity of temples in the region of South India by their intricate and ornate techniques.",January 7 | 3PM,Online,Rajasthan Studio,Arts and exhibitions,,vIshvesh,
Durga Face Art Workshop by Rajasthan Studio,"Durga stands for “the invincible”, the glory of the Goddess Durga justifies her name to the core. As a medium of expressing their gratitude towards Durga Ma people at the great Durga Puja Festival started creating Durga face art. This art form encapsulates the fierceness and fortitude of Durga Ma’s face. It is believed that the most important part of this face art is to draw those elegant yet passionate eyes. This technique is called the “chakshudan” which should capture the eyes looking at you.",January 7 | 5PM,Online,Rajasthan Studio,Arts and exhibitions,,vIshvesh,
Acrylic Painting Workshop by Rajasthan Studio,"s your art piece lacking energy and vibrance? Well, there is nothing more colorful than the palette filled with acrylics. Acrylic Painting is an art that style that allows even a beginner to paint their imagination on paper. Acrylics are preferred due to their flexible characteristics of being water-soluble and water-resistant concomitantly. Painting is considered to be therapeutic in nature and acrylics could be a great way to start with your art therapy. ",January 8 | 3PM,Online,Rajasthan Studio,Arts and exhibitions,,vIshvesh,
Gujarati Winter Specials,"Winter is a season which brings with it amazing greens full of high nutritional value. Combine them in flavourful Gujarati delicacies and savour the goodness of winter vegetables along with health! So, let’s welcome this winter in Gujarati Style!
Menu:
Undhiyu
Lilva Kachori
Nutritious Bajri Laddoos
",January 8 | 4PM,Online,SHARAN,Food and Beverages,,vIshvesh,
The Detox Program,"Join us on This Unique 8 Day Detox and Clean Eating Program that will not only help you to cleanse your system but also initiate weight loss, increase your energy levels manifold, clear your skin as well as hand hold you through planning A Healthy Plant Based Lifestyle.
The workshop will include:
Two 2 hour zoom sessions including cooking demos and tons of information on clean eating and tips on detoxifying
8 days of menu plan- breakfast lunch and dinner with shopping list and inventory planning
8 days Whatsapp support by a nutritionist
Exercise videos for incorporating exercise in everyday life.
Daily Affirmations and fun activities",January 8 | 8PM - January 15 | 10PM,Online,SHARAN,Health and Wellness,,vIshvesh,
Cracking THAT Interview!,"Cracking an interview is NOT that difficult!

It requires ONLY three Ps.

Planning
Perseverance
Presence of Mind","January 9 | 10AM
",Online,INSIDER,information & technology,,vIshvesh,
A Whole Of Life - Zero Waste Personal Care,"New Year, New You, Same Planet! Are you excited for 2021? Because we are! With every new year comes a ton of resolutions and goals we set for ourselves. But are we being inclusive of the planet while doing so?

Fact: Did you know that only 8% of the those who make new years resolutions, actually keep them?!

Let us help you reboot and consider what is really important to you and your family while setting realistic goals for yourself this year. Additionally, we will reassess the kind of personal care products we consume along with the impact they can have on the environment.","January 9 | 11AM
",Online,SHARAN,Health and Wellness,,vIshvesh,
Belly Dance Online Class,"Have you tried Belly Dance? if your answer is ""No"" then this is a workshop for you, we will learn basic techniques and add it on Bollywood song. At the end of class, you will be happy with this fun workout class and a small choreography that you can showcase to your friends or on Instagram.

Some of you are aware of this form and some of you might be thinking ""Is it for me?"" and the answer is ""Yes, it's for everyone"", it's a beautiful and elegant art of dancing. Sometimes people confuse it with vulgarity and forget it's just an art where we learn to move though our core (tummy), chest and hips. aren't they part of all dance forms. My intention is to introduce this form and tell you how beautiful and proud you will feel after the session.

 

It's for anyone who likes to dance and more than a dance, it's madness, someone said it right ""Dance is the best way to express your feelings"" [that someone is me :p]","September 5 | 7PM - September 26 | 8PM
",Online,Banjara And gypsy,Dance Competition,,vIshvesh,
Vector Gouache Landscape Workshop by Rajasthan Studio,Painting comes in all types and forms. You need to explore it beyond your limitations. One such form of painting is Gouache Painting. Gouache is an opaque watercolor that enables you to give your painting a matte and luxurious finish. It is time you actuate beyond the basics of watercolor and acrylics. Because there is much more to the process of painting than you ever imagined.,"January 9 | 3PM
",online,Rajasthan Studio,Arts and exhibitions,,vIshvesh,
Kalamkari Painting Workshop by Rajasthan Studio,"Have you ever tried to look for patterns in your colorful paintings? If not, then you should once explore the exquisite Kalamkari Paintings. This form of painting was introduced ages back but still stands as one of the finest forms because of its hidden motifs and colors. One could see women in yellow, demons in green and red, and Gods in hues of blue. Kalamkari Paintings are a work of pure talent and skilled artist work. You could see the Kalamkari work on different fabrics as well inclusive of sarees and suits.",January 9 | 5PM,online,Rajasthan Studio,Arts and exhibitions,,vIshvesh,
Samay Raina & Friends - Standup Comedy Show,Catch Samay Raina and friends bring their funniest jokes on live stage! Spend an evening full of laughter! Only 20 seats are available. Precautionary measures will be taken at the venue (refer to T&Cs).,January 5 | 8:30PM - January 6 | 10:30PM,online,Watervibe Multicuisine Restaurant,Live Events,,vIshvesh,
Employee ID 9211,"Show is all about all the mundane things you do in corporate life. Corporate has taken 7 years from Rajat' life and has given one thing it return ""hope"" that we will die with/ on our laptop.

Let's laugh at all the illogical, conflict & hierarchy we follow for no reason in corporate world.",January 8 | 9:30PM,online,Rajat Chauhan,Live Events,,vIshvesh,
"Fun Concept Show Ft. Rahul Dua, Mallika Dua, Urooj Ashfaq & Rahul Subramanian","Watch Mallika Dua, Rahul Subramanian, Rahul Dua, Urooj Ashfaq LIVE on ONE STAGE ! 

Get your tickets now, limited seats available. 

All social distancing protocols will be followed. 
Wearing masks is mandatory. 
There will be no meet & greet
Please read T&C before purchasing a ticket ",January 7 | 6PM,The Square,ArtKhoj,Live Events,,vIshvesh,
Punchliners Comedy Show ft Harsh Gujral (Zoom),Harsh Gujral is the perfect paragon of observational humor! His unique punch lines and coveted comic timings make his shows refreshing. His candid and quick-witted jokes strike the right chord with the audience and have them splitting their sides. He has been known to find humor in some of the most regular life situations and his relatable style of narrative makes everyone feel connected instantaneously!,December 24 | 8PM - January 7 | 9PM,online,INSIDER,Live Events,,vIshvesh,
Kuch Bhi - One Hour Stand Up Comedy Trial Show by Debasish Rath,"Suno Bey brings you the first trail show by Debasish Rath. Watch this hilarious comic perform 60 mins of his content in his first trial show called ""Kuch Bhi""

Mechanical Engineer by profession, a passionate writer who believes in storytelling which makes the reader feel connected as well as guessing till the very end. Debasish has written two books which sells world wide. The first one was ""The Hidden Folder"" and the second one was ""The For Loop"". He is working on his third project ""Thanks & Regards"" which will be a funny office humour. ",January 10 | 9PM,online,INSIDER,Live Events,,vIshvesh,
Crafting An Ideal Comedy Set : Workshop,"Crafting An Ideal Comedy Set' - In this workshop, Our Expert will talk about what can be considered as an Idea Standup Comedy Set. As there are many elements that can be used in comedy to make people laugh. How to mix them almost perfectly is a craft to learn.

How many jokes should a bit consist of? How long a single joke can be or should be?

How many topics can I joke about In a 5 min Set? Is Surprise Element Necessary at the End?

This one hour workshop will give you answers to the above questions. Along with that, you will have a complete idea about what should be and what can be added with your jokes while you prepare for a standup set.","January 24 | 9PM
",online,INSIDER,Live Events,,vIshvesh,
"SOUL","Some of Mumbai theatre’s most talented singer/actors and musicians explore contemporary rendering of music from the Bhakti and Sufi traditions that challenges, provokes and elevates. The live performance in Bengali, Marathi, Gujarati, Hindi, Oriya, Punjabi features musical forms such as Lok geet, Baul sangeet, Abhang, Ghazal, Qawwali, Bharud, Sugam and Thumri.",January 16 | 7PM - January 17 | 8PM,"Studio Tamaasha, Mumbai",TAMASHA,Arts and exhibitions,,vIshvesh,
Art & Design Foundation course,"To get an edge in your preparation to pursue Arts as a profession or as a serious hobby, you would need to work actively on building your portfolio with handpicked assignments that demonstrate your conceptual understanding of art and practical application of its techniques. Take up The Circular Square’s Arts & Design 25-hours course which, through weekly classes covering theory and projects, will also guide those aspiring to write Elementary and Intermediate drawing exams, which in turn are the foundation for further professional courses in Arts, Design or Architecture.",November 13 | 2PM - March 12 | 3PM,ONLINE,THE CIRCULAR SQUARE,Arts and exhibitions,,vIshvesh,
Coffee Painting [Online Live Workshop],"Coffee painting is as old as time itself. Coffee artists affirm the texture you get with coffee cannot be accomplished with any other technique. It is a way of expression that lets people enjoy art, not only by sight but also by smell. The inspiration for this artform came from ancient times where Chinese artists used tea in their art to give their paintings a sepia look.

About the workshop
In this workshop, you will be learning to make a Koi fish coffee painting with its range of nuances from hazelnut to dark brown, which can bring to life monochromatic works. You will also learn the use of coffee for painting which has become a common practice among artists who want to create artworks with different textures and tones.",January 9 | 3PM,ONLINE,AFRIN AHMED,Arts and exhibitions,,vIshvesh,
Express your Emotions through Art,"Art and emotions are intrinsically tied together. It is impossible to create art without any emotions backing that art and creating art can also bring out certain emotions in the artist. In this relaxing session by our Knowledge Contributor — Jainee Shah, you will be encouraged and guided to create from the heart rather than the head. By the end of the session, you will have explored the connection between emotions and artistic creations.


About Enlightened Sapiens

We are a Social Enterprise, focused on inspiring each one of us to share our Experiences and Knowledge with one another and foster an open environment of Growth and Mindfulness. We aim to help you discover and pursue your interests and hobbies through interactive videos and try-at-home activities. Know more through our website: www.enlightenedsapiens.com",January 10 | 5PM,online,ENLIGHTED SAPIENS,Arts and exhibitions,,vIshvesh,
Watercolor Underwater Scene Painting [Online Live Workshop],"Watercolor art dates from Stone Age cave painting when early Paleolithic man first painted pictures of animals and humans on their caves using charcoal, ochre, and other natural pigments. It was later popularized in Egyptian art after the discovery of papyrus (paper).



About the Workshop
In this workshop, you will learn to create a stunning realistic underwater-themed watercolor painting with the simplest techniques! Watercolors are known for their fluidity, and hence, the most commonly preferred art mediums for beginners. All one needs to learn is how to control its flow and let the magic happen!

This is a 'beginner-friendly' workshop.",January 23 | 6PM,online,Unnati Saraf,Arts and exhibitions,,vIshvesh,
Interactive Online Art Class,"Little Hands presents art class for 5 to 9 years old, every Tuesday from 3 to 4 pm.

Uttara is an artist and teacher. Along with teaching kids she also volunteer to teach kids with special needs.

Currently she is volunteering at a school ChildReach, which addresses special needs.

Students will learn

To integrate drawing, painting and various techniques in an artwork
Mandala and doodle
3D drawing
Drawing and painting Disney characters
Nature drawing
and lots of more forms and figures..
Classes are structured yet open-ended, allowing students to express their unique capacities through their own interest and experiences.",Tuesdays | 3PM,online,Uttara lakhani,Arts and exhibitions,,vIshvesh,
Urban Sketching [4-Day Online Live Masterclass],"Urban Sketching is a new age artform of capturing architecture, cityscapes, live scenes of streets, daily life or travels in a quick way with easy to access art tools. A global community of artists called Urban Sketchers practice drawing and sketching of locations of several cities, towns, and villages that they travel to.
About the Masterclass
We sketch 'what we IMAGINE' or 'what we SEE'. 'What we see' is usually the best place to start from but sometimes we really run out of ideas on ""Oh gosh! Stuck at home for so long that I don't know what am I gonna make today!"". Let's try finding that everyday inspiration sitting right in front of us & try making art out of it by learning & exploring Urban Sketching.
This is a 'beginner-friendly' detailed 4 Day masterclass of Urban Sketching where you will learn to capture beautiful architecture and scenes around you in your own style.","January 16 | 3PM
",online,Radhe Raja,Arts and exhibitions,,vIshvesh,
"Learn Colored Pencil Sketching","Would you like to make realistic artwork using colored pencils? In this interactive and do-it-along session, our Knowledge Contributor — Saumya Saxena will help you sketch something fun and then color your sketch using colored pencils. You will learn the various do's & don'ts of using colored pencils, how to choose the right paper for your drawings, understanding pencils and its shades, and how one can make the artwork more realistic. At the end of the session, you will have learned many new things about colored pencil sketching and how you can make better sketches.
About Enlightened Sapiens
We are a Social Enterprise, focused on inspiring each one of us to share our Experiences and Knowledge with one another and foster an open environment of Growth and Mindfulness. We aim to help you discover and pursue your interests and hobbies through interactive videos and try-at-home activities. Know more through our website: www.enlightenedsapiens.com",January 23 | 5PM,online,Enlightened Sapiens,Arts and exhibitions,,vIshvesh,
Acrylic Painting [Online Live Workshop],"The art of Acrylic paint can be traced back as far as 1934. Acrylic paint was first created by a German chemist called Otto Rohm who developed acrylic resin that transformed into the paint.

Acrylic paint is a fast-drying paint made of pigment suspended in acrylic polymer emulsion and plasticizers, silicon oils, defoamers, stabilizers, and metal soaps. Acrylic paints are water-soluble but become water-resistant when dry.

About the workshop
In this workshop, learn to paint a beautifully detailed landscape using acrylic paints from scratch. Get closer to this art form. Understand how to mix the colors perfectly and even create elaborate landscapes using them.",January 24 | 5:30PM,onine,Priya Pai,Arts and exhibitions,,vIshvesh,
"Origami [Online Live Workshop]","t's all about how you want to fold the paper, into what shape and size.

In this workshop, you will be learning some basic folds and will be creating different kinds of origami flowers and other decorative products. Then we'll be decorating a box or a glass bottle with all the origami products we created.

This is a 'beginner-friendly' workshop.

About the Artform:

Origami is a Japanese art form. It was the Japanese who discovered the uniqueness of paper to make something creative. The word ‘Ori’ means folding and ‘Gami’ means paper. It was earlier named ‘Orikata’ meaning folded paper. Origami was previously used in some ceremonies as a symbol of purity and sincerity.","January 30 | 6PM
",onine,Asawari Prasad,Arts and exhibitions,,vIshvesh,
"Gond Painting Workshop","Dots, dashes, lines that make you lose direction and bright colours that carefully fill the mindscape, such is the beauty of a Gond painting. Practised by the Gondi people, this folk art derives its name from the Dravidian expression, Kond which means ‘the green mountain’.

Nature is the biggest influencer with trees, birds, animals often playing the lead. Moreover, the artists depend on natural objects like charcoal, cow dung, leaves, sap to obtain natural colours. Learn about this beautiful art form at our workshop, sign up now.

This is a two-day workshop on zoom (one and a half hour per day). It is a live session and no recordings will be provided.","January 5 | 4PM - January 6 | 5PM
",online,"Gond Painting Workshop",Arts and exhibitions,,vIshvesh,
"Poetry Unfiltered Open Mic ft. Gaurav Kamat","Hooted1ce is coming with a poetry open mic again We always believe in giving the platform to the upcoming artists and help them go to the horizons.You will experience the extraordinary from the ordinary artists, and if you have a poet or storyteller in you, then come we would love to hear you. So if you want to experience the poetry of the people which comes from their heart which never been heard. Please come and witness the unheard.To Participate you may What’s app with your name on +91-7045011032 .

","January 7 | 8PM
","Cat Café Studio, Versova

",Guarav Kamat,Arts and exhibitions,,vIshvesh,
Madhubani Painting (Bird) Workshop,"Madhubani painting is dominantly figurative art and artists illustrate their life stories especially women artists. They love to paint their Gods and Goddesses, their daily lives, rituals and customs.
So let’s dive into this beautiful art form!
This is a two-day workshop on zoom.
It is a live session and no recordings will be provided
The workshop will be conducted in Hindi.
What Do You Learn
Day 1
5 to 6 Borders
6 to 8 ButtisBird
Face
Day 2
A Madhubani Composition (Peacock)
Demonstration of how to paint the drawing will be given.
List of Material Needed
3 Sheets – Basic Drawing Paper or any Paper available
1 A4 size paper for final composition
Pencil
Eraser
Pen – Pigment pen, Micro-tip pen.
Coloured pens
Watercolors
Round paint brushes 1,2
Water mug
Palette",January 07 | 4:00 PM - January 08 | 5:30 PM,online,madhubani op,Arts and exhibitions,,vIshvesh,
International Conference on Alternative Fuels and Electric Vehicles,"International Conference on Alternative Fuels and Electric Vehicles will provide a platform for various worldwide researchers, scientists, and academicians engaged in the field of Alternative Fuels and Electric Vehicles and driving the World towards a sustainable future. ICAFEV aims to receive only original high-quality research papers for this conference.",04 - 05 Feb 2021,"Alard College of Engineering and Management, Pune, India",Alard College of Engineering and Management,auto and automotives,,vIshvesh,
India Auto Show,"2nd Edition of the India Auto Show - Disrupt, Create and Grow ! The India Auto Show like its predecessor shall highlight the fast-developing Automotive Clusters in the Western Region of India. It is not just government policies, technology or the geography of automotive industry that is undergoing a paradigm shift, but also the consumer behavior, buying patterns & consumer engagement that has seen a sea change.

Highlights
A growing business and networking platform focusing on the fast-developing Automotive Clusters
Passenger Vehicles – Cars & Bikes, Commercial Vehicles, latest EV's - New Launches !
Test Tracks Arena for facilitating test drives of participating brands. Compare & Book on the spot
Parallel conferences and workshop to deliberate further on the key issues concerning the Industry
Dedicated Business Matchmaking with International delegation from emerging automotive hubs of Africa
",12 - 14 Feb 2021 ,"Bombay Exhibition Centre (BEC), Mumbai, India",Nesco. Ltd.,auto and automotives,,vIshvesh,
Car Care Expo,"Car Care Expo brings together Car Care and Car Wash equipment suppliers, chemicals & tools providers, Car detailing and service providers. The growth of motor vehicles in India, especially of luxury cars has created a huge market for car care, detailing and finishing. The Expo provides opportunities for international car care solution providers to enter the Indian market which is ready to adopt the latest systems which are fast, water/energy efficient and convenient to the users. It is also the right platform for the national players to showcase equipment, tools & solutions, expand the business and also get into collaboration with the international companies.",12 - 14 Feb 2021 ,"Bombay Exhibition Centre (BEC), Mumbai, India",Virtual Info Systems Pvt Ltd.,auto and automotives,,vIshvesh,
MachAuto Expo,"MachAuto Expo is an automobile event aimed at promoting the automotive industry. The event aims to support the Make in India campaign and ensures setting up automotive industries from raw products to manufacturing products in India. The event focuses on endorsing brand new and innovative cars and accessories related to automotive industries. Exhibitors from all across the world gather around and display their innovative designs of cars and vehicles based on latest trends and technologies. The event enables automobile industries and endorses their products and services among potential clients. The event also includes auto-related video games, videos, and other automobile industry products. The event is a must attend for anyone who enjoy purchasing latest cars and sports cars, accessories and products.", 19 - 22 Feb 2021," Glada Ground, Ludhiana, India",Udan Media & Communications Pvt. Ltd,auto and automotives,,vIshvesh,
ComForge,"ComForge is a 4 day event being held from 1st December 2020 to 4th December 2020 at the NSIC Ground, Aji Industrial Area, Rajkot, (Guj) India. The event aims to showcase products such as plant and equipment for processing prime and raw material, steel making, casting and pouring of non-ferrous metals. Comforge also focuses on environment protection equipment, castings, foundry materials, modern combustion devices, waste heat recovery equipment, components, ancillary equipment, foundry technology etc...", 24 - 27 Feb 2021,"NSIC, Rajkot, India",K And D Communication Limited,auto and automotives,,vIshvesh,
Car HMI,Car HMI the digital summit bringing together all stakeholders leading the technical and design future of automotive HMIs and UX. Experience 2 days packed with live webinars and case studies by decision makers and industry thought leaders on challenges in HMI and UX development and engage with your peers in real-time right from your desk.,01 - 02 Dec 2021 ,online,we.CONECT Global Leaders GmbH,auto and automotives,,vIshvesh,
Acrex India,"For a greener tomorrow
The focus for ACREX India shall be on advancements in technology in the HVAC sector, which is pivotal in creating a better future, better world.",25 - 27 Feb 2021,"BIEC Bengaluru International Exhibition Centre, Bengaluru, India",ISHRAE,auto and automotives,,vIshvesh,
